size,WILLS. 1864. 433,PRENDERGAST,PRENTICE John.,PRESCOTT John.,PRESCOTT Thomas.,25 October.,19 April.,30 March.,8 January.,"Effects under £3,000.",Effects under £100.,Effects under £300.,"Effects under £8,000.","who died 9 Sep-
tember 1864",who died 20 February 1864,"who
died 6 March 1864",who died 21 August 1863
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0
21,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
22,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
23,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1
24,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1
25,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1
26,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1
27,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
28,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1
29,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1
30,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
31,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1
32,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
33,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1
34,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
35,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1
36,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1
37,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
38,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1
39,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
40,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
41,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
42,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1
43,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
44,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
45,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1
46,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
47,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
48,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1
49,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
50,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
51,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
52,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
53,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
54,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
56,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
57,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1
58,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
59,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
60,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
61,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1
62,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
63,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
64,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
65,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1
68,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
69,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
70,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
71,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
72,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1
73,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
74,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
75,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
76,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
77,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
78,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
79,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
82,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
83,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
84,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
85,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1
86,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1
87,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
88,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
89,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1
90,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1
91,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1
92,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1
93,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1
94,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1
95,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
96,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
97,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1
